"zone_id","datum","uur","max_availability","avg_availability"
51937,2024-08-20,11,4,4
51937,2024-08-20,12,5,5
51937,2024-08-20,13,5,5
51937,2024-08-20,14,5,5
51937,2024-08-20,15,4,4
51937,2024-08-20,16,4,4
51937,2024-08-20,17,4,4
51937,2024-08-20,18,4,4
51937,2024-08-20,19,5,5
51937,2024-08-20,20,5,5
51937,2024-08-20,21,5,5
51937,2024-08-20,22,5,5
51937,2024-08-20,23,5,5
51937,2024-08-21,0,5,5
51937,2024-08-21,1,5,5
51937,2024-08-21,2,5,5
51937,2024-08-21,3,5,5
51937,2024-08-21,4,5,5
51937,2024-08-21,5,5,5
51937,2024-08-21,6,5,5
51937,2024-08-21,7,5,5
51937,2024-08-21,8,5,5
51937,2024-08-21,9,5,5
51937,2024-08-21,10,5,5
51937,2024-08-21,11,5,5
51937,2024-08-21,12,2,2
51937,2024-08-21,13,2,2
51937,2024-08-21,14,2,2
51937,2024-08-21,15,2,2
51937,2024-08-21,16,2,2
51937,2024-08-21,17,1,1
51937,2024-08-21,18,1,1
51937,2024-08-21,19,1,1
51937,2024-08-21,20,1,1
51937,2024-08-21,21,1,1
51937,2024-08-21,22,1,1
51937,2024-08-21,23,1,1
51937,2024-08-22,0,1,1
51937,2024-08-22,1,1,1
51937,2024-08-22,2,1,1
51937,2024-08-22,3,1,1
51937,2024-08-22,4,1,1
51937,2024-08-22,5,1,1
51937,2024-08-22,6,1,1
51937,2024-08-22,7,1,1
51937,2024-08-22,8,1,1
51937,2024-08-22,9,1,1
51937,2024-08-22,10,1,1
51937,2024-08-22,11,1,1
51937,2024-08-22,12,1,1
51937,2024-08-22,13,1,1
51937,2024-08-22,14,2,2
51937,2024-08-22,15,1,1
51937,2024-08-22,16,1,1
51937,2024-08-22,17,1,1
51937,2024-08-22,18,1,1
51937,2024-08-22,19,1,1
51937,2024-08-22,20,1,1
51937,2024-08-22,21,1,1
51937,2024-08-22,22,1,1
51937,2024-08-22,23,1,1
51937,2024-08-23,0,1,1
51937,2024-08-23,1,2,2
51937,2024-08-23,2,2,2
51937,2024-08-23,3,1,1
51937,2024-08-23,4,1,1
51937,2024-08-23,5,2,2
51937,2024-08-23,6,1,1
51937,2024-08-23,14,1,1
51937,2024-08-23,15,1,1
51937,2024-08-23,16,1,1
51937,2024-08-23,17,2,2
51937,2024-08-23,18,2,2
51937,2024-08-23,19,2,2
51937,2024-08-23,20,2,2
51937,2024-08-24,11,1,1
